index,street,x,y,direction,order,roadType
69,Hoàng Quốc Việt,21.04606103532888,105.78867270362312,-1,70,đường chính
70,Hoàng Quốc Việt,21.04605954776949,105.78876894275253,-1,71,đường chính
71,Hoàng Quốc Việt,21.046058044037736,105.78886518158502,-1,72,đường chính
72,Hoàng Quốc Việt,21.046056540305976,105.78896142041752,-1,73,đường chính
73,Hoàng Quốc Việt,21.04605503657422,105.78905765925,-1,74,đường chính
74,Hoàng Quốc Việt,21.04605353284246,105.7891538980825,-1,75,đường chính
75,Hoàng Quốc Việt,21.046052029110704,105.789250136915,-1,76,đường chính
76,Hoàng Quốc Việt,21.046050525378945,105.7893463757475,-1,77,đường chính
77,Hoàng Quốc Việt,21.04604902164719,105.78944261457998,-1,78,đường chính
78,Hoàng Quốc Việt,21.046047517915436,105.78953885341248,-1,79,đường chính
79,Hoàng Quốc Việt,21.046046014183677,105.78963509224498,-1,80,đường chính
80,Hoàng Quốc Việt,21.04604451045192,105.78973133107746,-1,81,đường chính
81,Hoàng Quốc Việt,21.04604300672016,105.78982756990996,-1,82,đường chính
82,Hoàng Quốc Việt,21.0460415029884,105.78992380874246,-1,83,đường chính
83,Hoàng Quốc Việt,21.04604000190152,105.79002004753796,-1,84,đường chính
84,Hoàng Quốc Việt,21.046043848462897,105.7901162115724,-1,85,đường chính
85,Hoàng Quốc Việt,21.046047695024274,105.79021237560684,-1,86,đường chính
86,Hoàng Quốc Việt,21.046051605693275,105.79030853663856,-1,87,đường chính
87,Hoàng Quốc Việt,21.04605561221586,105.79040469318062,-1,88,đường chính
88,Hoàng Quốc Việt,21.046059618738447,105.79050084972268,-1,89,đường chính
89,Hoàng Quốc Việt,21.04606,105.79059709293324,-1,90,đường chính
90,Hoàng Quốc Việt,21.04606,105.79069334525856,-1,91,đường chính
91,Hoàng Quốc Việt,21.04606,105.79078959758388,-1,92,đường chính
92,Hoàng Quốc Việt,21.04606,105.7908858499092,-1,93,đường chính
93,Hoàng Quốc Việt,21.04606,105.79098210223452,-1,94,đường chính
94,Hoàng Quốc Việt,21.04606,105.79107835455984,-1,95,đường chính
95,Hoàng Quốc Việt,21.04606,105.79117460688516,-1,96,đường chính
96,Hoàng Quốc Việt,21.04606,105.79127085921048,-1,97,đường chính
97,Hoàng Quốc Việt,21.04606,105.7913671115358,-1,98,đường chính
98,Hoàng Quốc Việt,21.046058985280485,105.79146333854884,-1,99,đường chính
99,Hoàng Quốc Việt,21.04605480493065,105.79155948659498,-1,100,đường chính
100,Hoàng Quốc Việt,21.046050624580825,105.7916556346411,-1,101,đường chính
101,Hoàng Quốc Việt,21.04605,105.7917518713807,-1,102,đường chính
102,Hoàng Quốc Việt,21.04605972286102,105.7918475057492,-1,103,đường chính
103,Hoàng Quốc Việt,21.046058512271387,105.79194372690264,-1,104,đường chính
104,Hoàng Quốc Việt,21.04605698467767,105.79203996530693,-1,105,đường chính
105,Hoàng Quốc Việt,21.046055457083952,105.7921362037112,-1,106,đường chính
106,Hoàng Quốc Việt,21.04605392949023,105.79223244211548,-1,107,đường chính
107,Hoàng Quốc Việt,21.046052401896517,105.79232868051976,-1,108,đường chính
108,Hoàng Quốc Việt,21.046050874302797,105.79242491892404,-1,109,đường chính
109,Hoàng Quốc Việt,21.04605,105.79252116327903,-1,110,đường chính
110,Hoàng Quốc Việt,21.04605,105.79261741559787,-1,111,đường chính
111,Hoàng Quốc Việt,21.04605,105.79271366791674,-1,112,đường chính
112,Hoàng Quốc Việt,21.04605,105.7928099202356,-1,113,đường chính
113,Hoàng Quốc Việt,21.04605,105.79290617255444,-1,114,đường chính
114,Hoàng Quốc Việt,21.04605,105.79300242487332,-1,115,đường chính
115,Hoàng Quốc Việt,21.04605,105.79309867719216,-1,116,đường chính
116,Hoàng Quốc Việt,21.04605,105.79319492951102,-1,117,đường chính
117,Hoàng Quốc Việt,21.04605034718957,105.79329117856366,-1,118,đường chính
118,Hoàng Quốc Việt,21.046051924853124,105.79338741604056,-1,119,đường chính
119,Hoàng Quốc Việt,21.04605350251668,105.79348365351746,-1,120,đường chính
120,Hoàng Quốc Việt,21.046055080180235,105.79357989099434,-1,121,đường chính
121,Hoàng Quốc Việt,21.046056657843792,105.79367612847123,-1,122,đường chính
122,Hoàng Quốc Việt,21.046058235507346,105.79377236594812,-1,123,đường chính
123,Hoàng Quốc Việt,21.046059813170903,105.79386860342504,-1,124,đường chính
124,Hoàng Quốc Việt,21.04606,105.79396485399197,-1,125,đường chính
125,Hoàng Quốc Việt,21.04606,105.79406110631729,-1,126,đường chính
126,Hoàng Quốc Việt,21.04606,105.7941573586426,-1,127,đường chính
127,Hoàng Quốc Việt,21.04606,105.79425361096791,-1,128,đường chính
128,Hoàng Quốc Việt,21.04606,105.79434986329323,-1,129,đường chính
129,Hoàng Quốc Việt,21.04606,105.79444611561856,-1,130,đường chính
130,Hoàng Quốc Việt,21.04606,105.79454236794388,-1,131,đường chính
131,Hoàng Quốc Việt,21.046060720209603,105.79463861414808,-1,132,đường chính
132,Hoàng Quốc Việt,21.04606214599045,105.79473485435555,-1,133,đường chính
133,Hoàng Quốc Việt,21.046063571771302,105.79483109456304,-1,134,đường chính
134,Hoàng Quốc Việt,21.04606499755216,105.79492733477052,-1,135,đường chính
135,Hoàng Quốc Việt,21.04606642333301,105.79502357497802,-1,136,đường chính
136,Hoàng Quốc Việt,21.04606784911386,105.7951198151855,-1,137,đường chính
137,Hoàng Quốc Việt,21.046069274894712,105.795216055393,-1,138,đường chính
138,Hoàng Quốc Việt,21.046070700675564,105.79531229560048,-1,139,đường chính
139,Hoàng Quốc Việt,21.046072126456416,105.79540853580797,-1,140,đường chính
140,Hoàng Quốc Việt,21.046073552237267,105.79550477601543,-1,141,đường chính
141,Hoàng Quốc Việt,21.04607497801812,105.79560101622292,-1,142,đường chính
142,Hoàng Quốc Việt,21.04607640379897,105.79569725643044,-1,143,đường chính
143,Hoàng Quốc Việt,21.046077829579826,105.79579349663793,-1,144,đường chính
144,Hoàng Quốc Việt,21.04607925536068,105.7958897368454,-1,145,đường chính
145,Hoàng Quốc Việt,21.046080779241848,105.7959859752688,-1,146,đường chính
146,Hoàng Quốc Việt,21.04608241036851,105.79608221174182,-1,147,đường chính
147,Hoàng Quốc Việt,21.04608404149517,105.79617844821485,-1,148,đường chính
148,Hoàng Quốc Việt,21.04608567262183,105.79627468468784,-1,149,đường chính
149,Hoàng Quốc Việt,21.046087303748493,105.79637092116086,-1,150,đường chính
150,Hoàng Quốc Việt,21.046088934875154,105.79646715763388,-1,151,đường chính
151,Hoàng Quốc Việt,21.046090000000003,105.79656339961436,-1,152,đường chính
152,Hoàng Quốc Việt,21.046090000000003,105.79665965195908,-1,153,đường chính
153,Hoàng Quốc Việt,21.046090000000003,105.7967559043038,-1,154,đường chính
154,Hoàng Quốc Việt,21.046090000000003,105.79685215664853,-1,155,đường chính
155,Hoàng Quốc Việt,21.046090000000003,105.79694840899322,-1,156,đường chính
156,Hoàng Quốc Việt,21.046090000000003,105.79704466133794,-1,157,đường chính
157,Hoàng Quốc Việt,21.046090000000003,105.79714091368264,-1,158,đường chính
158,Hoàng Quốc Việt,21.046090000000003,105.79723716602736,-1,159,đường chính
159,Hoàng Quốc Việt,21.046088625176807,105.79733337199433,-1,160,đường chính
160,Hoàng Quốc Việt,21.04608297448701,105.79742943372088,-1,161,đường chính
161,Hoàng Quốc Việt,21.04608197984079,105.79752553633809,-1,162,đường chính
162,Hoàng Quốc Việt,21.04608616019146,105.79762168440354,-1,163,đường chính
163,Hoàng Quốc Việt,21.046090000000003,105.79771784096384,-1,164,đường chính
164,Hoàng Quốc Việt,21.046090000000003,105.79781409330856,-1,165,đường chính
165,Hoàng Quốc Việt,21.046090000000003,105.79791034565328,-1,166,đường chính
166,Hoàng Quốc Việt,21.046090000000003,105.79800659799798,-1,167,đường chính
167,Hoàng Quốc Việt,21.046090000000003,105.79810285034269,-1,168,đường chính
168,Hoàng Quốc Việt,21.04609134744918,105.7981990760262,-1,169,đường chính
169,Hoàng Quốc Việt,21.04609466423254,105.79829526274358,-1,170,đường chính
170,Hoàng Quốc Việt,21.046097981015897,105.79839144946098,-1,171,đường chính
171,Hoàng Quốc Việt,21.046100000000003,105.79848766185972,-1,172,đường chính
172,Hoàng Quốc Việt,21.046100000000003,105.7985839142109,-1,173,đường chính
173,Hoàng Quốc Việt,21.046100000000003,105.79868016656206,-1,174,đường chính
174,Hoàng Quốc Việt,21.046100000000003,105.79877641891323,-1,175,đường chính
175,Hoàng Quốc Việt,21.046100000000003,105.79887267126442,-1,176,đường chính
176,Hoàng Quốc Việt,21.046100000000003,105.7989689236156,-1,177,đường chính
177,Hoàng Quốc Việt,21.046100000000003,105.79906517596676,-1,178,đường chính
178,Hoàng Quốc Việt,21.046100000000003,105.79916142831794,-1,179,đường chính
179,Hoàng Quốc Việt,21.046100000000003,105.79925768066911,-1,180,đường chính
180,Hoàng Quốc Việt,21.046100000000003,105.79935393302029,-1,181,đường chính
181,Hoàng Quốc Việt,21.046100000000003,105.79945018537148,-1,182,đường chính
182,Hoàng Quốc Việt,21.046100000000003,105.79954643772264,-1,183,đường chính
183,Hoàng Quốc Việt,21.046100000000003,105.79964269007382,-1,184,đường chính
184,Hoàng Quốc Việt,21.046100000000003,105.799738942425,-1,185,đường chính
185,Hoàng Quốc Việt,21.046100000000003,105.79983519477618,-1,186,đường chính
186,Hoàng Quốc Việt,21.046100000000003,105.79993144712736,-1,187,đường chính
187,Hoàng Quốc Việt,21.046100000000003,105.80002769947852,-1,188,đường chính
188,Hoàng Quốc Việt,21.046100000000003,105.8001239518297,-1,189,đường chính
189,Hoàng Quốc Việt,21.046100000000003,105.80022020418087,-1,190,đường chính
190,Hoàng Quốc Việt,21.046100000000003,105.80031645653204,-1,191,đường chính
191,Hoàng Quốc Việt,21.046100384832886,105.80041270514012,-1,192,đường chính
192,Hoàng Quốc Việt,21.046102015959764,105.80050894162606,-1,193,đường chính
193,Hoàng Quốc Việt,21.04610364708665,105.800605178112,-1,194,đường chính
194,Hoàng Quốc Việt,21.046105278213528,105.80070141459794,-1,195,đường chính
195,Hoàng Quốc Việt,21.04610690934041,105.80079765108388,-1,196,đường chính
196,Hoàng Quốc Việt,21.046108540467287,105.8008938875698,-1,197,đường chính
197,Hoàng Quốc Việt,21.04611,105.80099012572543,-1,198,đường chính
198,Hoàng Quốc Việt,21.04611,105.80108637808308,-1,199,đường chính
199,Hoàng Quốc Việt,21.04611,105.80118263044072,-1,200,đường chính
